NPM,"1. Dari skala 1–4, seberapa sulit penugasan OSADA menurut Anda?",2. Jenis kegiatan apa yang paling membantu dalam pengembangan diri Anda selama kegiatan OSADA?,3. Berapa rata-rata waktu yang Anda habiskan per minggu untuk mengerjakan tugas OSADA?,4. Berapa total jam tidur Anda yang berkurang per minggu selama mengikuti OSADA?,5. Sejauh mana OSADA membantu Anda dalam meningkatkan kedisiplinan?,6. Berapa jumlah presentasi atau kesempatan berbicara di depan umum yang Anda lakukan selama OSADA?,7.  Berapa rata-rata biaya (dalam rupiah) yang Anda keluarkan per minggu selama mengikuti OSADA?,8. Seberapa banyak teman baru yang Anda kenal dari pengkaderan OSADA?,9.  Apakah setelah mengikuti pengkaderan OSADA Anda merasa lebih aktif dalam kegiatan akademik maupun non-akademik di kampus?,10.  Apakah OSADA memberikan motivasi tambahan bagi Anda untuk aktif dalam organisasi lain di kampus?
25083010149,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,13.0,3.0,Sangat Membantu,1,100.0,95,Sangat Tidak Aktif,Ya
25083010130,Mudah,Penjelasan Materi di kelas,6.666666667,7.0,Sangat Membantu,1,150000.0,80,Tidak Aktif,Ya
25083010127,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,3.0,Membantu,4,250.0,60,Aktif,Tidak
25083010122,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,5.0,3.0,Sangat Membantu,12,350000.0,148,Aktif,Ya
25083010113,Sangat Sulit,Wawancara HIMASADA,1.666666667,6.0,Membantu,2,150.0,148,Tidak Aktif,Tidak
25083010108,Sangat Sulit,Kerja Kelompok terkait Penugasan OSADA,6.0,0.0,Membantu,0,50000.0,16,Aktif,Ya
25083010100,Sangat Sulit,Wawancara HIMASADA,5.0,5.0,Membantu,0,200000.0,20,Aktif,Tidak
25083010097,Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,6.0,28.66666667,Tidak Membantu,2,500000.0,34,Tidak Aktif,Ya
25083010094,Sangat Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,3.36,1.68,Membantu,0,200.0,10,Tidak Aktif,Tidak
25083010086,Mudah,Penjelasan Materi di kelas,5.0,1.0,Sangat Membantu,1,80000.0,90,Aktif,Ya
25083010084,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,3.0,5.0,Membantu,0,30000.0,15,Tidak Aktif,Ya
