"1. Dari skala 1–4, seberapa sulit penugasan OSADA menurut Anda?",2. Jenis kegiatan apa yang paling membantu dalam pengembangan diri Anda selama kegiatan OSADA?,3. Berapa rata-rata waktu yang Anda habiskan per minggu untuk mengerjakan tugas OSADA?,4. Berapa total jam tidur Anda yang berkurang per minggu selama mengikuti OSADA?,5. Sejauh mana OSADA membantu Anda dalam meningkatkan kedisiplinan?,6. Berapa jumlah presentasi atau kesempatan berbicara di depan umum yang Anda lakukan selama OSADA?,7.  Berapa rata-rata biaya (dalam rupiah) yang Anda keluarkan per minggu selama mengikuti OSADA?,8. Seberapa banyak teman baru yang Anda kenal dari pengkaderan OSADA?,9.  Apakah setelah mengikuti pengkaderan OSADA Anda merasa lebih aktif dalam kegiatan akademik maupun non-akademik di kampus?,10.  Apakah OSADA memberikan motivasi tambahan bagi Anda untuk aktif dalam organisasi lain di kampus?
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,9.5,3.0,Sangat Membantu,1.0,100.0,95.0,Sangat Tidak Aktif,Ya
Mudah,Penjelasan Materi di kelas,6.666666667,7.0,Sangat Membantu,1.0,150000.0,80.0,Tidak Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,3.0,Membantu,4.0,250.0,60.0,Aktif,Tidak
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,5.0,3.0,Sangat Membantu,5.375,350000.0,148.0,Aktif,Ya
Sangat Sulit,Wawancara HIMASADA,1.666666667,6.0,Membantu,2.0,150.0,148.0,Tidak Aktif,Tidak
Sangat Sulit,Kerja Kelompok terkait Penugasan OSADA,6.0,0.0,Membantu,0.0,50000.0,16.0,Aktif,Ya
Sangat Sulit,Wawancara HIMASADA,5.0,5.0,Membantu,0.0,200000.0,20.0,Aktif,Tidak
Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,6.0,9.5,Tidak Membantu,2.0,395000.0,34.0,Tidak Aktif,Ya
Sangat Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,3.36,1.68,Membantu,0.0,200.0,10.0,Tidak Aktif,Tidak
Mudah,Penjelasan Materi di kelas,5.0,1.0,Sangat Membantu,1.0,80000.0,90.0,Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,3.0,5.0,Membantu,0.0,30000.0,15.0,Tidak Aktif,Ya
Sangat Sulit,Wawancara HIMASADA,6.0,3.0,Sangat Membantu,0.0,395000.0,0.0,Sangat Aktif,Ya
Sangat Sulit,Penjelasan Materi di kelas,7.0,3.0,Sangat Tidak Membantu,2.0,395000.0,20.0,Sangat Tidak Aktif,Tidak
Sulit,Kerja Kelompok terkait Penugasan OSADA,9.5,0.0,Tidak Membantu,5.0,200.0,0.0,Tidak Aktif,Ya
Sulit,Wawancara HIMASADA,3.0,1.0,Membantu,1.0,90000.0,12.0,Aktif,Ya
